time,shortwave_radiation,direct_radiation,diffuse_radiation,global_tilted_irradiance,direct_normal_irradiance,cloud_cover,temperature_2m,relative_humidity_2m,windspeed_10m
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,76,22.4,93,14.0
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,93,22.1,92,13.7
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,89,21.8,92,13.5
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,73,21.6,92,13.2
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,82,21.4,92,13.4
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,62,21.0,93,10.8
2021-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,19,21.0,93,11.5
2021-01-01 07:00:00,53.0,27.0,26.0,53.0,196.1,36,22.1,90,12.1
2021-01-01 08:00:00,235.0,152.0,83.0,235.0,487.8,59,24.0,81,19.4
2021-01-01 09:00:00,404.0,259.0,145.0,404.0,506.6,50,25.5,73,20.6
2021-01-01 10:00:00,522.0,344.0,178.0,522.0,512.2,77,26.5,68,20.0
2021-01-01 11:00:00,617.0,403.0,214.0,617.0,515.6,60,27.4,62,19.5
2021-01-01 12:00:00,613.0,364.0,249.0,613.0,436.6,65,27.8,60,18.6
2021-01-01 13:00:00,610.0,354.0,256.0,610.0,429.3,90,28.2,56,18.3
2021-01-01 14:00:00,593.0,397.0,196.0,593.0,525.9,74,28.5,54,18.6
2021-01-01 15:00:00,478.0,301.0,177.0,478.0,478.5,98,28.1,55,18.5
2021-01-01 16:00:00,330.0,186.0,144.0,330.0,408.0,98,27.6,57,15.7
2021-01-01 17:00:00,154.0,66.0,88.0,154.0,267.2,98,25.5,70,15.7
2021-01-01 18:00:00,14.0,5.0,9.0,14.0,48.3,75,24.5,74,12.9
2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,86,23.5,78,11.0
2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,98,22.8,82,8.4
2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,97,22.0,86,7.0
2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,97,21.8,87,8.7
2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,94,21.6,87,9.3
2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,93,21.3,89,10.8
2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,3,20.7,91,8.6
2021-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,91,19.8,93,5.8
2021-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,96,20.4,90,8.4
2021-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,90,20.9,87,10.1
2021-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,50,20.5,87,7.9
2021-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,97,20.9,86,7.2
2021-01-02 07:00:00,47.0,17.0,30.0,47.0,124.1,90,22.0,82,9.0
2021-01-02 08:00:00,232.0,141.0,91.0,232.0,454.3,64,23.8,75,10.1
2021-01-02 09:00:00,453.0,351.0,102.0,453.0,687.7,33,25.6,69,14.7
2021-01-02 10:00:00,634.0,500.0,134.0,634.0,745.0,99,27.4,63,20.8
2021-01-02 11:00:00,446.0,146.0,300.0,446.0,186.8,100,27.4,64,18.9
2021-01-02 12:00:00,501.0,144.0,357.0,501.0,172.6,97,27.9,63,18.4
2021-01-02 13:00:00,506.0,172.0,334.0,506.0,208.3,73,28.1,63,17.4
2021-01-02 14:00:00,555.0,322.0,233.0,555.0,425.7,59,28.3,62,16.8
2021-01-02 15:00:00,451.0,281.0,170.0,451.0,445.4,39,28.5,61,15.8
2021-01-02 16:00:00,296.0,201.0,95.0,296.0,438.9,42,27.8,65,14.1
2021-01-02 17:00:00,137.0,75.0,62.0,137.0,300.9,45,26.4,71,13.0
2021-01-02 18:00:00,15.0,5.0,10.0,15.0,47.8,37,25.5,75,14.3
2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,30,24.8,79,13.6
2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,20,24.1,83,12.6
2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,22,23.7,86,12.9
2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,23,23.5,89,13.2
2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,23,23.3,89,13.2
2021-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,20,23.0,90,14.0
2021-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,54,22.8,90,14.0
